src_user,z_total_events,z_success_ratio,z_fail_ratio,z_unique_dst,z_night_ratio,z_self_user_ratio
ANONYMOUS LOGON@C1004,0.15468427739816612,0.11280396140869331,0.0,1.0452634992388947,3.8029618581595024,0.12968676311197982
ANONYMOUS LOGON@C10105,0.15468427739816612,0.11280396140869331,0.0,1.0452634992388947,1.6165990211957337,0.12968676311197982
ANONYMOUS LOGON@C1023,0.1719229418111862,0.11280396140869331,0.0,1.0452634992388947,1.6165990211957337,0.12968676311197982
ANONYMOUS LOGON@C10525,0.165654336570088,0.11280396140869331,0.0,1.0452634992388947,3.8029618581595024,0.12968676311197982
ANONYMOUS LOGON@C1065,5.294300828426451,0.11280396140869331,0.0,1.0452634992388947,0.2070078783064295,0.12968676311197982
ANONYMOUS LOGON@C10794,0.15468427739816612,0.11280396140869331,0.0,1.0452634992388947,1.6165990211957337,0.12968676311197982
ANONYMOUS LOGON@C1085,0.1484156721570679,0.11280396140869331,0.0,1.0452634992388947,1.6165990211957337,0.12968676311197982
ANONYMOUS LOGON@C10888,0.16722148788036253,0.11280396140869331,0.0,1.0452634992388947,1.6165990211957337,0.12968676311197982
ANONYMOUS LOGON@C10952,0.1687886391906371,0.11280396140869331,0.0,1.0452634992388947,1.6165990211957337,0.12968676311197982
ANONYMOUS LOGON@C11037,0.1719229418111862,0.11280396140869331,0.0,1.0452634992388947,1.6165990211957337,0.12968676311197982
ANONYMOUS LOGON@C11097,0.07632671188443854,0.11280396140869331,0.0,1.0452634992388947,3.7155495859118375,0.12968676311197982
ANONYMOUS LOGON@C11138,0.1719229418111862,0.11280396140869331,0.0,1.0452634992388947,1.6165990211957337,0.12968676311197982
ANONYMOUS LOGON@C11143,0.15468427739816612,0.11280396140869331,0.0,1.0452634992388947,3.8029618581595024,0.12968676311197982
ANONYMOUS LOGON@C11178,0.15154997477761703,0.11280396140869331,0.0,1.0452634992388947,1.6165990211957337,0.12968676311197982
ANONYMOUS LOGON@C11242,0.1719229418111862,0.11280396140869331,0.0,1.0452634992388947,1.6165990211957337,0.12968676311197982
