src_user,z_total_events,z_success_ratio,z_fail_ratio,z_unique_dst,z_night_ratio,z_self_user_ratio
ANONYMOUS LOGON@C10,0.15018344374537282,0.23020884393240504,0.0,1.0535321709927936,0.0,0.25036343566047836
ANONYMOUS LOGON@C10026,0.1547832906538697,0.23020884393240504,0.0,1.0535321709927936,0.0,0.25036343566047836
ANONYMOUS LOGON@C10037,0.1547832906538697,0.23020884393240504,0.0,1.0535321709927936,0.0,0.25036343566047836
ANONYMOUS LOGON@C10056,0.15248336719962127,0.23020884393240504,0.0,1.0535321709927936,0.0,0.25036343566047836
ANONYMOUS LOGON@C10060,0.15593325238099393,0.23020884393240504,0.0,1.0535321709927936,0.0,0.25036343566047836
ANONYMOUS LOGON@C10077,0.15133340547249705,0.23020884393240504,0.0,1.0535321709927936,0.0,0.25036343566047836
ANONYMOUS LOGON@C10089,0.15248336719962127,0.23020884393240504,0.0,1.0535321709927936,0.0,0.25036343566047836
ANONYMOUS LOGON@C10095,0.1547832906538697,0.23020884393240504,0.0,1.0535321709927936,0.0,0.25036343566047836
ANONYMOUS LOGON@C101,0.1547832906538697,0.23020884393240504,0.0,1.0535321709927936,0.0,0.25036343566047836
ANONYMOUS LOGON@C10114,0.1547832906538697,0.23020884393240504,0.0,1.0535321709927936,0.0,0.25036343566047836
ANONYMOUS LOGON@C10136,0.15248336719962127,0.23020884393240504,0.0,1.0535321709927936,0.0,0.25036343566047836
ANONYMOUS LOGON@C10140,0.1409837499283791,0.23020884393240504,0.0,1.0535321709927936,0.0,0.25036343566047836
ANONYMOUS LOGON@C10144,0.1547832906538697,0.23020884393240504,0.0,1.0535321709927936,0.0,0.25036343566047836
ANONYMOUS LOGON@C1015,0.15248336719962127,0.23020884393240504,0.0,1.0535321709927936,0.0,0.25036343566047836
ANONYMOUS LOGON@C10171,0.15133340547249705,0.23020884393240504,0.0,1.0535321709927936,0.0,0.25036343566047836
ANONYMOUS LOGON@C10225,0.15593325238099393,0.23020884393240504,0.0,1.0535321709927936,0.0,0.25036343566047836
ANONYMOUS LOGON@C10239,0.13868382647413063,0.23020884393240504,0.0,1.0535321709927936,0.0,0.25036343566047836
ANONYMOUS LOGON@C10267,0.1547832906538697,0.23020884393240504,0.0,1.0535321709927936,0.0,0.25036343566047836
ANONYMOUS LOGON@C10328,0.1547832906538697,0.23020884393240504,0.0,1.0535321709927936,0.0,0.25036343566047836
ANONYMOUS LOGON@C1034,0.15248336719962127,0.23020884393240504,0.0,1.0535321709927936,0.0,0.25036343566047836
